"13410","https://www.google.com/maps/place/13410+Agudo,+Cdad.+Real/@39.0144119,-4.9673198,11z","@39.0144119,-4.9673198,11z","Spain"
"07180","https://www.google.com/maps/place/07180+Calvi%C3%A1,+Islas+Baleares/@39.5494472,2.4141922,12z","@39.5494472,2.4141922,12z","Spain"
"10665","https://www.google.com/maps/place/10665+Guijo+de+Granadilla,+C%C3%A1ceres/@40.187799,-6.2072258,12z","@40.187799,-6.2072258,12z","Spain"
"17744","https://www.google.com/maps/place/17744+Navata,+Girona/@42.2136252,2.8289202,13z","@42.2136252,2.8289202,13z","Spain"
"04770","https://www.google.com/maps/place/04770+Adra,+Almer%C3%ADa/@36.7825681,-3.1880785,11z","@36.7825681,-3.1880785,11z","Spain"
"08161","https://www.google.com/maps/place/Piera,+08784,+Barcelona/@41.5136119,1.6804696,12z","@41.5136119,1.6804696,12z","Spain"
"15620","https://www.google.com/maps/place/15620+Mugardos,+C/@43.4548131,-8.288124,13z","@43.4548131,-8.288124,13z","Spain"
"08600","https://www.google.com/maps/place/08600+Berga,+Barcelona/@42.0994919,1.7736967,12z","@42.0994919,1.7736967,12z","Spain"
"13097","https://www.google.com/maps/place/Villarta+de+San+Juan,+13210,+Cdad.+Real/@39.2101831,-3.4988174,12z","@39.2101831,-3.4988174,12z","Spain"
"03818","https://www.google.com/maps/place/03818+Alcoy,+Alicante/@38.6893393,-0.4985029,16z","@38.6893393,-0.4985029,16z","Spain"
"02409","https://www.google.com/maps/place/02409+Hell%C3%ADn,+Albacete/@38.4911859,-1.7603859,11z","@38.4911859,-1.7603859,11z","Spain"
"06478","https://www.google.com/maps/place/06478+Manchita,+Badajoz/@38.7939955,-6.0453111,13z","@38.7939955,-6.0453111,13z","Spain"
"00240","https://www.google.com/maps/place/00240+Spain/@40.4619264,-3.670016,14z","@40.4619264,-3.670016,14z","Spain"
"06840","https://www.google.com/maps/place/06840+Alange,+Badajoz/@38.7293789,-6.3419563,12z","@38.7293789,-6.3419563,12z","Spain"
"08255","https://www.google.com/maps/place/08255+Castellfullit+del+Boix,+Barcelona/@41.6665441,1.6063437,12z","@41.6665441,1.6063437,12z","Spain"
"14450","https://www.google.com/maps/place/14450+A%C3%B1ora,+C%C3%B3rdoba/@38.3233746,-5.008192,11z","@38.3233746,-5.008192,11z","Spain"
"17451","https://www.google.com/maps/place/17451+San+Fel%C3%ADu+de+Buxalleu,+Girona/@41.7801909,2.5139433,12z","@41.7801909,2.5139433,12z","Spain"
"15405","https://www.google.com/maps/place/15405+Ferrol,+La+Coru%C3%B1a/@43.5064463,-8.26962,13z","@43.5064463,-8.26962,13z","Spain"
"02693","https://www.google.com/maps/place/02693+Corral-Rubio,+Albacete/@38.8070366,-1.5167565,12z","@38.8070366,-1.5167565,12z","Spain"
"07550","https://www.google.com/maps/place/07550+Son+Servera,+Islas+Baleares/@39.6381557,3.3085108,12z","@39.6381557,3.3085108,12z","Spain"
"15846","https://www.google.com/maps/place/15846+Santa+Comba,+La+Coru%C3%B1a/@43.0256697,-8.8457072,12z","@43.0256697,-8.8457072,12z","Spain"
